# GMM n=4 pocket classification, T=25C
# Classes: S1_pocket, S3_pocket, surface, extended
# frame  chi2  chi2_state  wcn  d_S1  d_S3  M  dist_nm  Q_p  class
212  92.84  1  0.802959  6.211  11.124  0.184140  0.956448  -0.030955  surface
213  112.08  1  0.855669  6.556  10.157  0.175063  0.884640  -0.028466  surface
214  83.40  1  0.822990  6.125  10.744  0.099882  0.938519  -0.023146  surface
215  82.90  1  0.792131  6.180  10.826  0.022075  1.005848  -0.018536  surface
216  96.97  1  0.817752  6.521  10.351  0.085840  0.930588  -0.020133  surface
217  82.67  1  0.834940  6.322  10.527  -0.003651  0.967150  -0.021141  surface
218  92.63  1  0.826153  6.517  9.984  0.090022  0.877034  -0.017455  surface
219  86.35  1  0.841743  5.902  11.019  0.026712  0.995296  -0.021117  surface
220  78.07  1  0.831035  6.469  10.555  0.035480  0.942365  -0.021250  surface
221  84.47  1  0.802948  6.270  11.238  0.071833  0.955898  -0.018266  surface
222  81.33  1  0.835097  6.192  11.387  0.381985  0.867753  -0.020640  surface
223  97.76  1  0.808419  6.669  10.984  0.242102  0.980783  -0.036547  surface
224  78.55  1  0.815929  6.675  11.890  0.405079  0.963614  -0.026091  surface
225  99.39  1  0.833079  6.130  12.366  0.296889  0.965008  -0.007072  surface
226  93.84  1  0.837714  6.564  11.985  0.439593  0.961821  -0.007085  surface
227  80.57  1  0.804690  6.075  11.204  -0.012672  1.009379  -0.024420  surface
228  76.48  1  0.839774  6.858  11.091  -0.009156  0.947305  -0.009915  surface
229  95.55  1  0.851173  6.290  11.671  0.320716  0.919872  -0.021140  surface
230  75.89  1  0.816750  6.383  11.136  0.071514  1.033675  -0.019486  surface
231  71.21  1  0.850830  6.369  10.908  0.175984  0.956076  -0.010553  surface
232  83.29  1  0.821842  6.691  11.800  0.160498  0.956434  -0.022674  surface
233  91.31  1  0.830089  6.356  11.819  0.565290  0.905339  -0.020398  surface
234  88.69  1  0.832837  6.273  11.128  0.062179  0.965851  -0.020159  surface
235  93.59  1  0.798341  6.792  12.320  0.312129  0.973580  -0.020450  surface
236  84.38  1  0.852669  6.359  12.221  0.340263  0.965567  -0.024909  surface
237  92.43  1  0.842600  6.064  11.909  0.467459  0.935894  -0.014511  surface
238  91.32  1  0.779167  6.029  11.028  0.056153  1.007607  -0.028189  surface
239  101.19  1  0.826235  6.442  11.940  0.181359  0.971261  -0.014508  surface
240  71.46  1  0.815685  6.562  11.679  0.099623  0.993868  -0.013372  surface
241  84.94  1  0.829983  6.126  11.075  0.052356  0.942683  -0.014069  surface
242  79.78  1  0.805523  6.370  11.528  0.164571  1.006897  -0.031424  surface
243  92.54  1  0.817309  6.749  10.287  -0.145255  0.982503  -0.018700  surface
244  90.10  1  0.827771  6.240  11.491  0.238395  0.977740  -0.021767  surface
245  72.68  1  0.769699  5.903  12.607  0.129259  1.063698  -0.030475  surface
246  80.62  1  0.789380  6.135  11.818  -0.075822  1.092480  -0.007881  surface
247  94.54  1  0.798309  6.127  10.707  -0.041870  0.992269  -0.015354  surface
248  80.97  1  0.815926  6.433  10.342  -0.131361  0.972392  -0.019911  surface
249  72.27  1  0.823811  6.692  10.162  0.016080  0.946896  -0.023642  surface
250  82.97  1  0.778168  6.775  12.161  0.315599  1.065956  -0.019464  surface
251  93.15  1  0.841427  6.460  9.573  -0.249344  0.950941  -0.018781  surface
252  78.80  1  0.813617  6.788  10.290  0.077971  0.983361  -0.030473  surface
253  86.18  1  0.831432  6.961  10.765  -0.101188  0.995219  -0.016495  surface
254  68.08  1  0.814791  6.317  11.254  -0.087122  1.059977  -0.019098  surface
255  83.52  1  0.773478  6.585  11.685  0.177585  1.102934  -0.025039  surface
256  86.38  1  0.799754  6.308  11.585  0.024828  1.016389  -0.025134  surface
257  82.03  1  0.868501  6.317  10.408  0.177474  0.897804  -0.025676  surface
258  88.49  1  0.847030  6.143  9.235  0.006469  0.907911  -0.024663  surface
259  80.35  1  0.860753  5.962  9.869  0.014797  0.880451  -0.026058  surface
260  79.65  1  0.862649  6.234  8.862  -0.010976  0.837656  -0.037972  surface
261  72.12  1  0.835959  5.745  9.550  -0.231567  0.932716  -0.015936  surface
262  85.31  1  0.871486  6.460  9.390  -0.004736  0.885004  -0.032608  surface
263  73.52  1  0.870704  6.245  9.007  0.058393  0.818761  -0.032985  surface
264  85.19  1  0.814561  6.396  11.091  0.295781  0.977788  -0.020841  surface
265  80.14  1  0.888549  6.854  9.508  0.121809  0.839070  -0.049852  surface
266  73.10  1  0.885218  6.465  10.276  0.279021  0.835946  -0.024267  surface
267  95.05  1  0.900519  7.619  8.391  -0.035579  0.810191  -0.035713  surface
268  82.21  1  0.857813  6.493  9.196  -0.073564  0.867436  -0.028369  surface
